CL_FISCAL,Nome,UNIDADE,Estoque,Preco,VAL_TOTAL
30049039,0014691-BISOLVON ADULTO 120ML,UN,14,1462.0,20468.0
30049079,0319780-BISSULF CLOPIDOGREL EURO 75MG C/30,UN,8,1814.0,14512.0
30049079,0482143-BISSULF CLOPIDOGREL MEDLEY 75MG C/28,UN,2,4210.0,8420.0
34013000,0097704-BLEPHAGEL 40G C/100 LENCOS,UN,1,11295.0,11295.0
40141000,0301798-BLOWTEX C/3 UNIDADES ACTION,UN,6,625.0,3750.0
40141000,0301823-BLOWTEX C/3 UNIDADES EFEITO RETARDANT,UN,7,682.0,4774.0
40141000,0317554-BLOWTEX C/3 UNIDADES EXTRA GRANDE,UN,4,625.0,2500.0
40141000,0300569-BLOWTEX C/3 UNIDADES MENTA,UN,9,444.0,3996.0
40141000,0301800-BLOWTEX C/3 UNIDADES MORANGO,UN,7,444.0,3108.0
33049990,0564372-BOIRON LOCAO CORPO 200ML,UN,3,6064.0,18192.0
"40149010,""0231106-BOLSA AGUA QUENTE MERCUR 0,500L BORDO"",UN,2,3092.0,6184.0"
"40149010,""0230160-BOLSA AGUA QUENTE MERCUR 1,4L BORDO"",UN,3,3557.0,10671.0"
"40149010,""0231094-BOLSA AGUA QUENTE MERCUR 2,0L BORDO"",UN,1,6502.0,6502.0"
39269040,0235313-BOLSA TERMICA FLEXIVEL 1L MED,UN,2,1868.0,3736.0
39123119,0097393-BOLSA TERMICA GEL TERMOGEL (G),UN,6,1699.0,10194.0
39123119,0097392-BOLSA TERMICA GEL TERMOGEL (P),UN,5,785.0,3925.0
33074900,0554718-BOM AR AERO 360ML ALEGRIA,UN,1,981.0,981.0
33074900,0473865-BOM AR AERO 360ML CHEIRINHO DE LIMPEZ,UN,2,1802.0,3604.0
33074900,0365661-BOM AR AERO 360ML CHEIRINHO DE TALCO,UN,2,1802.0,3604.0
33074900,0434085-BOM AR AERO 360ML FLOR DE JASMIN EMB.,UN,4,1802.0,7208.0
33079000,0127353-BOSTON SIMPLUS 120ML,UN,1,7016.0,7016.0
33071000,0094863-BOZZANO CR.BARBA 65G ALOE VERA,UN,5,853.0,4265.0
33071000,0094861-BOZZANO CR.BARBA 65G PELE SENSIVEL,UN,5,699.0,3495.0
33071000,0251550-BOZZANO ESP TRAD L190 P150 HIDRATA€AO,UN,2,1510.0,3020.0
33059000,0487640-BOZZANO GEL FIX 150G MEGA FORTE,UN,2,1041.0,2082.0
33059000,0463590-BOZZANO GEL FIX2 300G CREME MODELADOR,UN,3,1096.0,3288.0
33059000,0463601-BOZZANO GEL FIX3 300G SOLAR,UN,1,1143.0,1143.0
33071000,0080828-BOZZANO LOCAO FACIAL.100ML MENTOLADA,UN,2,2241.0,4482.0
33071000,0096614-BOZZANO LOCAO FACIAL.100ML NIGHT BLUE,UN,2,2241.0,4482.0
30049069,0493430-BRAMICAR 40MG C/30 COMP,UN,2,7812.0,15624.0
30049069,0493441-BRAMICAR 80MG C/30 COMP,UN,1,8230.0,8230.0
"30049069,""0546936-BRAMICAR HCT 40+12,5MG C/30 COMP"",UN,1,8609.0,8609.0"
"30049069,""0493453-BRAMICAR HCT 80+12,5MG C/30 COMP"",UN,1,8609.0,8609.0"
30049069,0371156-BRASART 160MG C/30 COMP,UN,2,4253.0,8506.0
30049069,0420567-BRASART 80MG C/30 COMP,UN,2,4122.0,8244.0
30049069,0552285-BRASART BCC 160MG+5MG C/30 COMP,UN,1,9501.0,9501.0
30049069,0555031-BRASART BCC 320MG+5MG C/30 COMP,UN,1,10476.0,10476.0
"30049079,""0371168-BRASART HCT 160MG+12,5MG C/30 COMP"",UN,1,7955.0,7955.0"
"30049079,""0512352-BRASART HCT 80MG+12,5MG C/30 COMP"",UN,1,7637.0,7637.0"
30049069,0369464-BRAVAN 160MG C/30 COMP,UN,2,4115.0,8230.0
30049069,0381689-BRAVAN 80MG C/30 COMP,UN,2,3948.0,7896.0
19011090,0505285-BRAVAN DUO 160+5MG C/30 COMP,UN,1,5378.0,5378.0
"30049069,""0464059-BRAVAN HCT 160+12,5MG C/30 COMP"",UN,2,6695.0,13390.0"
